Date,tn,tx,rh,ff,sr,rr,tn_QC,tx_QC,rh_QC,ff_QC,sr_QC,rr_QC
1997-08-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-27,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-28,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-29,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-30,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-08-31,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-01,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-02,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-03,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-04,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-05,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-06,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-07,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-08,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-09,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-10,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-11,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-12,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-13,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-14,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-15,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-16,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-17,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-18,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-19,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-20,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-21,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-22,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-23,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-24,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-25,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
1997-09-26,554913.8888888889,554913.8888888889,0.0,446537.97408,484038.81329099997,25371475.799999997,0,0,0,0,0,0
